segment_id,start_idx,end_idx,length,delimiter,text
1,0,185,185,newline,La casa se veía más pequeña que antes. O tal vez Lucía había pasado demasiado tiempo lejos de este lugar donde las distancias se medían en mareas y los calendarios se escribían con sal.
2,186,391,205,newline,"Su mamá no se había movido de la mecedora. Seguía ahí, balanceándose con un ritmo que parecía seguir el compás de las olas, los ojos fijos en el horizonte como si estuviera leyendo algo escrito en el agua."
3,393,399,6,newline,¿Mamá?
4,400,460,60,newline,"La mujer tardó en voltear, como si regresara de muy adentro."
5,462,488,26,newline,Creí que no ibas a volver.
6,489,710,221,newline,"No hubo abrazo. No hubo lágrimas. Solo esa constatación que cortaba como vidrio de botella en la arena. Lucía dejó caer la mochila y se sentó en el escalón del corredor, a la distancia exacta que habían mantenido siempre."
7,712,729,17,newline,¿Dónde está Rafo?
8,731,783,52,newline,El mar a veces se queda con lo que se quiere quedar.
9,784,1017,233,newline,"Ahí estaba otra vez. Esa costumbre de hablar en acertijos, como si las palabras directas fueran peligrosas. Cinco años fuera habían hecho que Lucía se acostumbrara a conversaciones claras, a preguntas que tenían respuestas concretas."
10,1019,1167,148,newline,"No me hables como si fuera turista, mamá. Su kayak apareció intacto en la playa. Los de búsqueda y rescate dicen que no hay indicios de ahogamiento."
11,1169,1205,36,newline,"Hay muchas formas de ahogarse, hija."
12,1207,1459,252,newline,"Su mamá se siguió meciendo, con esa persistencia que Lucía recordaba de la infancia. Cuando había tormenta, ella se sentaba en esa misma mecedora y no se movía hasta que pasara el temporal. Como si su quietud fuera lo único que mantenía la casa en pie."
13,1461,1486,25,newline,¿Hablaste con la policía?
14,1488,1523,35,newline,La policía no entiende estas cosas.
15,1525,1549,24,newline,¿Y el comité del puerto?
16,1550,1584,34,newline,"Por primera vez, paró la mecedora."
17,1586,1622,36,newline,El comité dice que no busquemos más.
18,1624,1636,12,newline,¿Por qué no?
19,1638,1671,33,newline,Porque dicen que es caso perdido.
20,1672,1853,181,newline,Lucía sintió una gran irritación subiéndole por la garganta. Era como tratar de agarrar agua con las manos. Cada respuesta se escurría antes de que pudiera entenderla completamente.
21,1854,2090,236,newline,"Se levantó y caminó hacia la ventana que daba al patio interior. Todo estaba igual: el cordel para tender ropa, las macetas con plantas, que solo su mamá sabía mantener vivas en la tierra salada, el pozo que nunca había funcionado bien."
22,2091,2273,182,newline,"Pero había algo nuevo. En el fondo del patio, cerca del muro que dividía la casa del terreno baldío, había una construcción pequeña que no recordaba. Como un altar. O como una tumba."
23,2275,2287,12,newline,¿Qué es eso?
24,2288,2327,39,newline,"Siguió la dirección de su mirada, dijo:"
25,2329,2359,30,newline,Algo que Rafo estaba haciendo.
26,2361,2371,10,newline,¿Para qué?
27,2373,2395,22,newline,"Para protegerse, creo."
28,2397,2405,8,newline,¿De qué?
29,2406,2520,114,newline,"La mamá de Lucía se levantó de la mecedora con movimientos lentos, como si cada gesto le costara más de lo normal."
30,2522,2568,46,newline,Ven. Te voy a enseñar el cuarto de tu hermano.
31,2569,2754,185,newline,"Subieron las escaleras que crujían en los mismos lugares de siempre. El cuarto de Rafo estaba al final del pasadizo, con la puerta cerrada, pero sin llave. La abrió y se hizo a un lado."
32,2756,2783,27,newline,Entra tú sola. Yo no puedo.
33,2784,3075,291,newline,"Lucía empujó la puerta y sintió inmediatamente que algo estaba mal. No en el cuarto en sí; todo estaba ordenado, limpio, como si Rafo fuese a volver en cualquier momento, sino en el aire. Había una densidad extraña, como si el espacio estuviera cargado de electricidad antes de una tormenta."
34,3076,3235,159,newline,"La cama estaba tendida. La ropa, doblada en la silla. Los libros, apilados en el escritorio junto a cuadernos llenos de una letra que reconoció inmediatamente."
35,3236,3450,214,newline,"Las paredes estaban cubiertas de mapas. No solo mapas geográficos de la costa, sino dibujos que parecían hechos por él mismo. Corrientes marinas, profundidades, zonas marcadas con símbolos que no lograba descifrar."
36,3451,3632,181,newline,"Y en el mapa más grande, el que ocupaba toda la pared del fondo, había un área marcada en rojo. Una zona en el océano, no muy lejos de la costa, con una sola palabra escrita encima:"
37,3633,3643,10,newline,NAMAYÑAMUC
38,3645,3652,7,em-dash,¿Mamá? 
39,3653,3675,22,em-dash,gritó hacia el pasillo
40,3676,3698,22,newline,. ¿Qué significa esto?
41,3699,3767,68,newline,"La respuesta tardó en llegar, y cuando llegó, fue apenas un susurro:"
42,3769,3831,62,newline,Significa que tu hermano encontró algo que no debía encontrar.
43,3832,4096,264,newline,"Lucía se acercó al escritorio. Entre los cuadernos había fotografías: imágenes del mar desde diferentes ángulos, algunas tomadas desde un bote, otras desde el acantilado. En varias se podían ver formas extrañas bajo el agua. Sombras que no parecían peces ni rocas."
44,4097,4397,300,newline,"Entre las fotografías marinas, había otras imágenes que parecían fuera de lugar: fotos del comité del puerto tomadas desde lejos, como si Rafo los hubiera estado vigilando. Instantáneas de reuniones nocturnas en lugares apartados. Imágenes de personas cargando cosas hacia botes en horarios extraños."
45,4398,4620,222,newline,"En una de las fotos más inquietantes, había un grupo de hombres parados en círculo alrededor de algo en la playa. La foto estaba tomada desde muy lejos, pero Lucía pudo reconocer las siluetas de don Severino y don Aurelio."
46,4621,4699,78,newline,"En el reverso de esa fotografía, con la letra de Rafo, había una sola palabra:"
47,4700,4710,10,newline,"""¿Ritual?"""
48,4712,4718,6,em-dash,Mamá. 
49,4719,4770,51,em-dash,Lucía salió del cuarto con la fotografía en la mano
50,4771,4812,41,newline,. ¿Qué huevadas andaba investigando Rafo?
51,4813,5018,205,newline,"Ella estaba esperándola al pie de las escaleras, pero ya no parecía la misma mujer que había dejado minutos antes. Parecía más mayor. Más pequeña. Como si el peso de algo invisible la estuviera aplastando."
52,5020,5116,96,newline,Tu hermano quería entender. Pero a veces ha cosas que no se pueden entender sin pagar un precio.
53,5118,5130,12,newline,¿Qué precio?
54,5132,5171,39,newline,El precio que cobra el saber demasiado.
55,5172,5371,199,newline,"Afuera, el viento había vuelto. Pero ahora soplaba desde el mar hacia tierra, trayendo un olor que Lucía no recordaba de su infancia. Un olor a profundidad. A cosas que llevaban mucho tiempo ocultas."
56,5372,5465,93,newline,"Su mamá se acercó a la ventana y cerró las cortinas, aunque apenas eran las tres de la tarde."
57,5467,5499,32,newline,Esta noche no salgas de la casa.
58,5501,5510,9,newline,¿Por qué?
59,5512,5543,31,newline,Porque ya saben que regresaste.
60,5545,5560,15,newline,¿Quiénes saben?
61,5561,5744,183,newline,"Su mamá no respondió. Solo subió a su cuarto y cerró la puerta, dejando a Lucía sola en la sala con la fotografía en las manos y mil preguntas que nadie parecía dispuesto a responder."
62,5745,5854,109,newline,"Afuera, las olas rompían contra las rocas con más fuerza de la habitual. Como si el mar estuviera impaciente."
63,5855,5886,31,newline,O como si estuviera celebrando.
64,5887,6100,213,newline,"Pero Lucía tenía la extraña sensación de que había algo en esa fotografía que no había notado. Algo en las sombras, en la forma en que los hombres se posicionaban, en lo que fuera que estaban rodeando en la arena."
65,6101,6204,103,newline,"Cuando volvió a mirar la foto bajo la luz de la lámpara, notó algo que la hizo contener la respiración."
66,6205,6312,107,newline,"En el centro del círculo de hombres, apenas visible en la arena, había lo que parecía ser una forma humana."
67,6313,6339,26,EOF,Una forma que no se movía.
